sector_id,sector_name
76ab8c6674f4,Energy and extractives
0ebfb36b0a80,Social protection
834b34f16f45,Health
ee6d86e164d9,"Agriculture, fishing, and forestry"
a14a944d6c58,Transportation
84d048587d81,Public administration
e14c49da2c33,Financial sector
24e7451df05e,Education
352e6cc4aa34,"Industry, trade, and services"
d1270bb67632,"Water, sanitation, and waste management"
1b197e347789,Information & communications technologies
7c537e5966c8,Unspecified
